"","Spain","France","Italy","Netherlands","United Kingdom"
"BCBUTE02","First difference","First difference","First difference","First difference","First difference"
"BCCICP02","First difference","First difference","First difference","First difference","First difference"
"BCEMFT02","First difference","First difference","First difference","First difference","First difference"
"BCOBLV02","First difference","First difference","First difference","First difference","First difference"
"BCSPFT02","First difference","First difference","First difference","First difference","First difference"
"BRBUFT02","First difference","First difference","Level","First difference","First difference"
"BRBUTE02","First difference","Level","First difference","First difference","Level"
"BRCICP02","First difference","Level","Level","First difference","Level"
"BREMFT02","First difference","First difference","Level","First difference","Level"
"BRODFT02","First difference","First difference","Level","First difference","Level"
"BRVSLV02","First difference","Level","Level","Level","Level"
"BSCICP02","First difference","Level","Level","Level","Level"
"BSEMFT02","First difference","Level","First difference","Level","Level"
"BSFGLV02","Level","Level","Level","Level","Level"
"BSOBLV02","First difference","Level","Level","Level","Level"
"BSPRFT02","First difference","Level","Level","Level","Level"
"BSPRTE02","First difference","Level","Level","Level","Level"
"BSSPFT02","First difference","First difference","Level","First difference","Level"
"BSXRLV02","Level","Level","Level","Level","Level"
"CCRETT01","First difference","First difference","First difference","First difference","Level"
"CCUSMA02","First difference","First difference","First difference","First difference","Level"
"CCUSSP01","First difference","First difference","First difference","First difference","First difference"
"CP010000","Level","Level","Level","Level","Level"
"CP040100","First difference","Level","First difference","Level","Level"
"CPALTT01","Level","Level","First difference","Level","Level"
"CPGREN01","Level","Level","First difference","Level","Level"
"CPGRHO02","Level","Level","Level","Level","Level"
"CPGRLE01","Level","Level","Level","Level","Level"
"CPGRLH02","Level","Level","Level",NA,"Level"
"CPGRSE01","Level","Level","Level","Level","Level"
"CPHP0100","Level","Level","Level","Level","Level"
"CPHP0200","Level","Level","Level","Level","Level"
"CPHP0300","Level","Level","Level","Level","Level"
"CPHP0400","Level","Level","First difference","First difference","Level"
"CPHP0500","First difference","First difference","First difference","Level","Level"
"CPHP0600","Level","Level","Level","Level","Level"
"CPHP0700","Level","Level","Level","Level","Level"
"CPHP0800","Level","Level","Level","Level","Level"
"CPHP0900","Level","Level","Level","Level","Level"
"CPHP1000","Level","Level","Level","Level","Level"
"CPHP1100","Level","Level","Level","Level","Level"
"CPHP1200","Level","Level","Level","Level","Level"
"CPHPEN01","Level","Level","First difference","Level","Level"
"CPHPLA01","Level","Level","Level","Level","Level"
"CPHPSE01","Level","Level","Level","Level","Level"
"CPHPTT01","Level","Level","First difference","Level","First difference"
"CSCICP02","First difference","Level","First difference","Level","Level"
"CSESFT02","First difference","Level","Level","Level","Level"
"CSINFT02","First difference","First difference","First difference","First difference","First difference"
"IR3TIB01","First difference","First difference","First difference","First difference","First difference"
"IRLTLT01","First difference","First difference","First difference","First difference","First difference"
"IRSTCI01","First difference","First difference",NA,NA,"First difference"
"LFHU24MA","First difference","First difference",NA,"First difference","First difference"
"LFHUADMA","First difference","First difference",NA,"First difference","First difference"
"LFHUTTMA","First difference","First difference","First difference","First difference","First difference"
"LMJVTTUV","First difference",NA,NA,NA,"First difference"
"LMUNRLTT","Nothing works","First difference",NA,"First difference","First difference"
"LOCOCINO","Level","Level","Level","Level","Level"
"LOCOPCNO","Level","Level","Level",NA,"Level"
"LOCOSPOR","First difference","First difference",NA,"First difference","First difference"
"LOCOVROR","First difference","Level",NA,NA,"First difference"
"LOLITOAA","Level","Level","Level","Level","Level"
"LORSGPNO","Level","Level","Level","Level","Level"
"LRHU24FE","First difference","First difference",NA,"First difference","First difference"
"LRHUADFE","First difference","First difference",NA,"First difference","First difference"
"LRHUTTFE","First difference","First difference","First difference","First difference","First difference"
"PIEAMP02","Level","Level","Level","Level","Level"
"PREND401","First difference","Level","Level",NA,"First difference"
"PRINTO01","Level","Level","Level","Level","Level"
"PRMITO01","First difference","Level","Level","Level","First difference"
"PRMNIG01","First difference","Level","Level",NA,"Level"
"PRMNTO01","Level","Level","Level","Level","Level"
"PRMNVG01","First difference","First difference","Level",NA,"First difference"
"SLRTCR03","Level","Level","Level","Level","Level"
"SLRTTO01","Level","Level","Level","Level","Level"
"SPASTT01","Level","Level","Level","Level","Level"
"XTEXVA01","Level","First difference","First difference","First difference","First difference"
"XTIMVA01","First difference","First difference","First difference","First difference","First difference"
"XTNTVA01","First difference","First difference","First difference","First difference","Level"
"CP020000",NA,"Level","Level","Level","Level"
"CP030000",NA,"Level","Level","Level","Level"
"CP040000",NA,"Level","First difference","Level","Level"
"CP040300",NA,"Level","Level","Level","Level"
"CP040400",NA,"Level","Level","Level","Level"
"CP040500",NA,"Level","First difference","First difference","Level"
"CP050000",NA,"First difference","First difference","Level","Level"
"CP060000",NA,"Level","Level","Level","Level"
"CP070000",NA,"Level","Level","Level","Level"
"CP070200",NA,"Level","Level","Level","Level"
"CP080000",NA,"Level","Level","Level","Level"
"CP090000",NA,"Level","Level","Level","Level"
"CP100000",NA,"Level","Level","Level","Level"
"CP110000",NA,"Level","Level","Level","Level"
"CP120000",NA,"Level","Level","Level","Level"
"CPGRGO01",NA,"Level","First difference","Level","First difference"
"LOCOBPNO",NA,"Level","Level","Level","Level"
"PRMNCG02",NA,"First difference",NA,NA,"First difference"
"LCEAMN01",NA,NA,"Level","Level","Level"
"CP040200",NA,NA,NA,"Level","Level"
"LCEAPR02",NA,NA,NA,NA,"First difference"
"LCEATT02",NA,NA,NA,NA,"Level"
"LOCOSTNO",NA,NA,NA,NA,"Second difference"
"M1","Level","Level","Level","Level","Level"
"M2","First difference","First difference","First difference","First difference","Level"
"M3","First difference","First difference","First difference","First difference","Level"
"GOLD","First difference","First difference","First difference","First difference","First difference"
"CRUDE OIL","First difference","First difference","First difference","First difference","First difference"
"LTIR","First difference","First difference","First difference","First difference","First difference"
"PCV","Level","Level","First difference","First difference","Level"
"HEPSF",NA,"First difference",NA,NA,NA
"LCES","First difference",NA,NA,NA,NA
"RoCU","First difference","First difference","First difference","First difference","First difference"
"PFCE","First difference","First difference","First difference","Second difference","First difference"
"ULCP","First difference","First difference","Level","Level","First difference"
